date,action,company_name,symbol,source
1998-08-01,include,Pudumjee Pulp & Paper Mills Ltd.,,nse_incl_excl
1998-08-01,include,Punjab Alkalies & Chemicals Ltd.,,nse_incl_excl
1998-08-01,include,Punjab Chemicals & Crop Protection Ltd.,,nse_incl_excl
1998-08-01,include,Punjab Tractors Ltd.,,nse_incl_excl
1998-08-01,include,Punjab Wireless Systems Ltd.,,nse_incl_excl
1998-08-01,include,RPG Cables Ltd.,,nse_incl_excl
1998-08-01,include,RPG Transmission Ltd.,,nse_incl_excl
1998-08-01,include,RSWM Ltd.,,nse_incl_excl
1998-08-01,include,Raasi Cement Ltd.- Sus,,nse_incl_excl
1998-08-01,include,Rajinder Steels Ltd.,,nse_incl_excl
1998-08-01,include,Ranbaxy Laboratories Ltd.,,nse_incl_excl
1998-08-01,include,Rashtriya Chemicals & Fertilizers Ltd.,,nse_incl_excl
1998-08-01,include,Ravalgaon Sugar Farm Ltd.,,nse_incl_excl
1998-08-01,include,Raymond Ltd.,,nse_incl_excl
1998-08-01,include,Reckitt Benckiser (India) Ltd,,nse_incl_excl
1998-08-01,include,Recron Synthetics Ltd.,,nse_incl_excl
1998-08-01,include,Reliance Capital Ltd.,,nse_incl_excl
1998-08-01,include,Reliance Industrial Infrastructure Ltd.,,nse_incl_excl
1998-08-01,include,Reliance Industries Ltd.,,nse_incl_excl
1998-08-01,include,Reliance Infrastructure Ltd.,,nse_incl_excl
1998-08-01,include,Rhone-Poulenc (India) Ltd.,,nse_incl_excl
1998-08-01,include,Rico Auto Industries Ltd.,,nse_incl_excl
1998-08-01,include,Rolta India Ltd.,,nse_incl_excl
1998-08-01,include,Royal Cushion Vinyl Products Ltd.,,nse_incl_excl
1998-08-01,include,Ruchi Soya Industries Ltd.,,nse_incl_excl
1998-08-01,include,SIV Industries Ltd.,,nse_incl_excl
1998-08-01,include,SKF India Ltd.,,nse_incl_excl
1998-08-01,include,SOL Pharmaceuticals Ltd.,,nse_incl_excl
1998-08-01,include,SRF Ltd.,,nse_incl_excl
1998-08-01,include,Sakthi Sugars Ltd.,,nse_incl_excl
1998-08-01,include,Samtel Color Ltd.,,nse_incl_excl
1998-08-01,include,Sandvik Asia Ltd. - Delisted,,nse_incl_excl
1998-08-01,include,Sanghi Polysters Ltd.,,nse_incl_excl
1998-08-01,include,Sanofi India Ltd.,,nse_incl_excl
1998-08-01,include,Satyam Computer Services Ltd.,,nse_incl_excl
1998-08-01,include,Saurashtra Cement Ltd.,,nse_incl_excl
1998-08-01,include,Schenectady Beck India Ltd.,,nse_incl_excl
1998-08-01,include,Sesa Sterlite Ltd.,,nse_incl_excl
1998-08-01,include,Seshasayee Paper & Boards Ltd.,,nse_incl_excl
1998-08-01,include,Shaw Wallace & Co. Ltd.-Sus,,nse_incl_excl
1998-08-01,include,Shipping Corporation of India Ltd.,,nse_incl_excl
1998-08-01,include,Shree Cement Ltd.,,nse_incl_excl
1998-08-01,include,Shrenuj & Co. Ltd.,,nse_incl_excl
1998-08-01,include,Siemens Ltd.,,nse_incl_excl
1998-08-01,include,Smithkline Beecham Pharmaceuticals (I) Ltd.-Merged,,nse_incl_excl
1998-08-01,include,Snowcem India Ltd.,,nse_incl_excl
