company_name,effective_from,effective_to
Kerala Chemicals & Proteins Ltd.,1998-08-01,2002-03-29
Kinetic Motor Co. Ltd.,1998-08-01,2003-02-25
Kitply Industries Ltd.,1998-08-01,2006-09-13
Kochi Refineries Ltd.,1998-08-01,2006-09-22
Kodak India Ltd. - Delisted,1998-08-01,2003-04-07
Koutons Retail India Ltd.,2009-03-27,2011-10-10
Krebs Biochemicals Ltd.,2000-02-16,2002-07-09
Krishna Filaments Ltd.,1998-08-01,2001-08-31
Krishna Lifestyle Technologies Ltd.,1998-08-01,1999-02-03
Kwality Ltd.,2012-04-27,2013-04-01
Kwality Ltd.,2016-04-01,2018-09-28
LML Ltd.,1998-08-01,2004-12-10
Lakshmi Auto Components Ltd.- Delisted,2002-04-23,2004-04-16
Lakshmi Energy & Foods Ltd.,2007-09-24,2012-04-27
Lakshmi Vilas Bank Ltd.,2002-04-23,2020-06-26
Lanco Infratech Ltd.,2007-06-04,2017-03-31
Larsen & Toubro Ltd.-Sus,1998-08-01,2004-05-24
Lloyds Finance Ltd.,1998-08-01,2002-03-29
Lloyds Metals & Engineers Ltd.,1998-08-01,1999-09-08
Lok Housing & Constructions Ltd.,1998-08-01,1999-02-03
Lupin Chemicals Ltd.  (Erstwhile),1998-08-01,2001-04-25
Lupin Laboratories Ltd.  (Erstwhile),1998-08-01,2001-08-31
MRO-TEK Ltd.,2002-09-19,2009-10-22
MVL Ltd.,2011-12-14,2013-04-01
Maars Software International Ltd.,2000-09-03,2007-04-04
Madura Coats Ltd.,1998-08-01,2003-04-25
Magma Fincorp Ltd.,2013-09-27,2020-06-26
Mahindra Ugine Steel Co. Ltd.,1998-08-01,2011-03-25
Mahindra Ugine Steel Co. Ltd.,2014-03-28,2014-06-30
Malwa Cotton Spinning Mills Ltd.,1999-02-03,2002-04-23
Mandhana Industries Ltd.,2012-09-28,2015-12-14
Mangalore Chemicals & Fertilizers Ltd.,2012-09-28,2015-09-28
Manpasand Beverages Ltd.,2016-04-01,2019-03-29
Mardia Chemicals Ltd.,1998-08-01,1999-12-08
Matrix Laboratories Ltd.,2004-12-10,2009-08-14
McDowell & Co. Ltd. (Old),1998-08-01,2001-06-20
Melstar Information Technologies Ltd.,2002-09-19,2007-04-04
Mercator Ltd.,2006-03-02,2016-04-01
Merind Ltd.-Merged,1998-08-01,1999-05-26
Metalyst Forgings Ltd.,2015-09-28,2016-04-01
Micro Inks Ltd.,1998-08-01,2010-04-06
Mirc Electronics Ltd.,1998-08-01,2012-09-28
Modern Denim Ltd.,1998-08-01,1999-02-03
Modern Syntex (India) Ltd.,1998-08-01,1999-02-03
Modern Terry Towels Ltd.,1998-08-01,1999-02-03
Modi Xerox Ltd.- Sus,1998-08-01,2000-05-24
Modiluft Ltd.,1998-08-01,1999-09-08
Monnet Ispat and Energy Ltd.,2004-12-10,2015-09-28
Monsanto India Ltd.,2001-04-25,2018-04-02
Monsanto India Ltd.,2018-09-28,2019-06-28
Moser Baer India Ltd.,1999-03-17,2012-09-28
Mukand Ltd.- Old,1998-08-01,2004-01-02
NEPC Agro Foods Ltd.,1998-08-01,1999-09-08
NEPC India Ltd,1998-08-01,2009-03-27
NIIT Ltd.-Sus,1998-08-01,2004-07-09
Nagarjuna Fertilizers & Chemicals Ltd.,1998-08-01,2011-08-29
Nahar Industrial Enterprises Ltd.,1998-08-01,2001-04-25
Narmada Chematur Petrochemicals Ltd.,2005-09-26,2007-03-15
National Aluminium Co. Ltd. (Old),1998-08-01,1999-04-29
Nava Bharat Ventures Ltd.,2004-03-15,2016-04-01
Nirma Ltd.,1998-08-01,2011-03-24
Nitin Fire Protection Industries Ltd.,2014-09-19,2017-09-29
OCL India Ltd.,2016-09-30,2017-01-23
