symbol,ex_date,type,factor,note
GRASIM,2010-05-26,demerger,0.79293,measured
GRASIM,2017-07-19,demerger,0.80288,measured
GREENPLY,2014-11-26,demerger,0.85499,measured
GREENPLY,2019-07-12,demerger,0.94182,measured
GTL,2006-07-07,demerger,0.83284,measured
GUJENERGY,2026-07-02,demerger,0.8825,measured
GUJFLUORO,2019-08-06,demerger,0.10893,measured
GUJFLUORO,2021-03-26,demerger,0.74527,measured
GUJGASLTD,2026-07-02,demerger,0.8825,measured
GVT&D,2011-12-14,demerger,0.76166,measured
HARRMALAYA,2010-08-31,demerger,0.72063,measured
HEG,2026-09-07,demerger,0.37377,measured
HERCULES,2024-10-11,demerger,0.29386,measured
HINDLEVER,2025-12-05,demerger,0.9498,measured
HINDMOTOR,2011-01-27,demerger,,skipped:gap-27d
HINDMOTORS,2011-01-27,demerger,,skipped:gap-27d
HINDSANIT,2019-08-19,demerger,0.26293,measured
HINDUJATMT,2022-11-22,demerger,0.15776,measured
HINDUJAVEN,2022-11-22,demerger,0.15776,measured
HINDUNILVR,2025-12-05,demerger,0.9498,measured
HOPFL,2014-05-30,demerger,0.70872,measured
HSIL,2019-08-19,demerger,0.26293,measured
HTMEDIA,2019-04-09,demerger,0.85142,measured
IBREALEST,2011-04-21,demerger,0.93817,measured
IBREALEST,2011-12-07,demerger,0.89897,measured
IBULISL,2022-09-01,demerger,0.84054,measured
IBULLSLTD,2022-09-01,demerger,0.84054,measured
IDFC,2015-09-29,demerger,0.98861,ignored:<5%
IDFC,2015-10-01,demerger,0.42786,measured
IIFL,2017-10-17,demerger,0.99244,ignored:<5%
IIFL,2019-05-30,demerger,0.4779,measured
INDIABULLS,2007-01-02,demerger,0.46249,measured
INDIABULLS,2008-01-01,demerger,0.73099,measured
INDIAGLYCO,2026-09-02,demerger,0.21247,measured
INDIAINFO,2017-10-17,demerger,0.99244,ignored:<5%
INDIAINFO,2019-05-30,demerger,0.4779,measured
INDRAYON,2016-01-20,demerger,0.42708,measured
INFIBEAM,2020-12-10,demerger,0.97074,ignored:<5%
INFIBEAM,2024-09-11,demerger,0.96254,ignored:<5%
INFOMEDIA,2012-06-12,demerger,0.80749,measured
INOXGREEN,2026-07-31,demerger,0.96942,ignored:<5%
INTELLECT,2015-01-16,demerger,1.05836,ignored:<5%
IPAPPM,2010-02-23,rights,,rights:no-price
ITC,2025-01-06,demerger,0.91912,measured
JINDALPHOT,2016-05-12,demerger,0.52895,measured
JINDALPOLY,2013-07-17,demerger,0.96861,ignored:<5%
JINDALPOLY,2019-12-30,demerger,0.95061,ignored:<5%
