symbol,effective_from,effective_to,note
SONATSOFTW,1900-01-01,,
SPLPETRO,2026-07-15,,added in 2026-07-15 nse500 refresh (Supreme Petrochem Ltd.)
SRF,1900-01-01,,
STARHEALTH,1900-01-01,,
SUMICHEM,1900-01-01,,
SUNDARMFIN,1900-01-01,,
SUNDRMFAST,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
SUNPHARMA,1900-01-01,,
SUNTV,1900-01-01,,
SUPREMEIND,1900-01-01,,
SUZLON,1900-01-01,,
SWANCORP,1900-01-01,,
SWIGGY,1900-01-01,,
SYNGENE,1900-01-01,,
SYRMA,1900-01-01,,
TARIL,1900-01-01,,
TATACAP,2026-07-15,,added in 2026-07-15 nse500 refresh (Tata Capital Ltd.)
TATACHEM,1900-01-01,,
TATACOMM,1900-01-01,,
TATACONSUM,1900-01-01,,
TATAELXSI,1900-01-01,,
TATAINVEST,1900-01-01,,
TATAPOWER,1900-01-01,,
TATASTEEL,1900-01-01,,
TATATECH,1900-01-01,,
TBOTEK,1900-01-01,,
TCS,1900-01-01,,
TECHM,1900-01-01,,
TECHNOE,1900-01-01,,
TEGA,2026-07-15,,added in 2026-07-15 nse500 refresh (Tega Industries Ltd.)
TEJASNET,1900-01-01,,
TENNIND,2026-07-15,,added in 2026-07-15 nse500 refresh (Tenneco Clean Air India Ltd.)
THELEELA,1900-01-01,,
THERMAX,1900-01-01,,
TIINDIA,1900-01-01,,
TIMKEN,1900-01-01,,
TITAGARH,1900-01-01,,
TITAN,1900-01-01,,
TMCV,2026-07-15,,added in 2026-07-15 nse500 refresh (Tata Motors Ltd.)
TMPV,1900-01-01,,
TORNTPHARM,1900-01-01,,
TORNTPOWER,1900-01-01,,
TRAVELFOOD,2026-07-15,,added in 2026-07-15 nse500 refresh (Travel Food Services Ltd.)
TRENT,1900-01-01,,
TRIDENT,1900-01-01,,
TRITURBINE,1900-01-01,,
TRIVENI,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
TTML,1900-01-01,,
TVSMOTOR,1900-01-01,,
UBL,1900-01-01,,
UCOBANK,1900-01-01,,
ULTRACEMCO,1900-01-01,,
UNIONBANK,1900-01-01,,
UNITDSPR,1900-01-01,,
UNOMINDA,1900-01-01,,
UPL,1900-01-01,,
URBANCO,2026-07-15,,added in 2026-07-15 nse500 refresh (Urban Company Ltd.)
USHAMART,1900-01-01,,
UTIAMC,1900-01-01,,
VBL,1900-01-01,,
VEDL,1900-01-01,,
VENTIVE,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
VGUARD,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
VIJAYA,1900-01-01,,
VMM,1900-01-01,,
VOLTAS,1900-01-01,,
VTL,1900-01-01,,
WAAREEENER,1900-01-01,,
WELCORP,1900-01-01,,
WELSPUNLIV,1900-01-01,,
WHIRLPOOL,1900-01-01,,
WIPRO,1900-01-01,,
WOCKPHARMA,1900-01-01,,
YESBANK,1900-01-01,,
ZEEL,1900-01-01,,
ZENSARTECH,1900-01-01,,
ZENTEC,1900-01-01,,
ZFCVINDIA,1900-01-01,,
ZYDUSLIFE,1900-01-01,,
ZYDUSWELL,2026-07-15,,added in 2026-07-15 nse500 refresh (Zydus Wellness Ltd.)
