symbol,company,zerodha_sector,zerodha_sector_slug,source_exchange
APLAPOLLO,APL Apollo Tubes Ltd.,Building Materials,building-materials,NSE
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,healthcare,NSE
APOLLOTYRE,Apollo Tyres Ltd.,Auto Ancillary,auto-ancillary,NSE
APTUS,Aptus Value Housing Finance India Ltd.,Financial Services,financial-services,NSE
ARE&M,Amara Raja Energy & Mobility Ltd.,Auto Ancillary,auto-ancillary,NSE
ASAHIINDIA,Asahi India Glass Ltd.,Building Materials,building-materials,NSE
ASHOKLEY,Ashok Leyland Ltd.,Automobile,automobile,NSE
ASIANPAINT,Asian Paints Ltd.,Building Materials,building-materials,NSE
ASTERDM,Aster DM Healthcare Ltd.,Healthcare,healthcare,NSE
ASTRAL,Astral Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
ATGL,Adani Total Gas Ltd.,Energy,energy,NSE
ATHERENERG,Ather Energy Ltd.,Automobile,automobile,NSE
ATUL,Atul Ltd.,Chemicals,chemicals,NSE
AUBANK,AU Small Finance Bank Ltd.,Financial Services,financial-services,NSE
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,healthcare,NSE
AWL,AWL Agri Business Ltd.,FMCG,fmcg,NSE
AXISBANK,Axis Bank Ltd.,Financial Services,financial-services,NSE
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile,automobile,NSE
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,financial-services,NSE
BAJAJHFL,Bajaj Housing Finance Ltd.,Financial Services,financial-services,NSE
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,financial-services,NSE
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,financial-services,NSE
BALKRISIND,Balkrishna Industries Ltd.,Auto Ancillary,auto-ancillary,NSE
BALRAMCHIN,Balrampur Chini Mills Ltd.,FMCG,fmcg,NSE
BANDHANBNK,Bandhan Bank Ltd.,Financial Services,financial-services,NSE
BANKBARODA,Bank of Baroda,Financial Services,financial-services,NSE
BANKINDIA,Bank of India,Financial Services,financial-services,NSE
BATAINDIA,Bata India Ltd.,Retail,retail,NSE
BAYERCROP,Bayer Cropscience Ltd.,Chemicals,chemicals,NSE
BBTC,Bombay Burmah Trading Corporation Ltd.,Agriculture,agriculture,NSE
BDL,Bharat Dynamics Ltd.,Defence,defence,NSE
BEL,Bharat Electronics Ltd.,Defence,defence,NSE
BELRISE,Belrise Industries Ltd.,Auto Ancillary,auto-ancillary,NSE
BEML,BEML Ltd.,Defence,defence,NSE
BERGEPAINT,Berger Paints India Ltd.,Building Materials,building-materials,NSE
BHARATFORG,Bharat Forge Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
BHARTIARTL,Bharti Airtel Ltd.,Telecom,telecom,NSE
BHARTIHEXA,Bharti Hexacom Ltd.,Telecom,telecom,NSE
BHEL,Bharat Heavy Electricals Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
BIKAJI,Bikaji Foods International Ltd.,FMCG,fmcg,NSE
BIOCON,Biocon Ltd.,Healthcare,healthcare,NSE
BLS,BLS International Services Ltd.,Services,services,NSE
BLUEDART,Blue Dart Express Ltd.,Logistics,logistics,NSE
BLUEJET,Blue Jet Healthcare Ltd.,Healthcare,healthcare,NSE
BLUESTARCO,Blue Star Ltd.,Consumer Durables,consumer-durables,NSE
BOSCHLTD,Bosch Ltd.,Auto Ancillary,auto-ancillary,NSE
BPCL,Bharat Petroleum Corporation Ltd.,Energy,energy,NSE
BRIGADE,Brigade Enterprises Ltd.,Real Estate,real-estate,NSE
BRITANNIA,Britannia Industries Ltd.,FMCG,fmcg,NSE
BSE,BSE Ltd.,Financial Services,financial-services,NSE
BSOFT,Birlasoft Ltd.,Software Services,software-services,NSE
CAMS,Computer Age Management Services Ltd.,Financial Services,financial-services,NSE
CANBK,Canara Bank,Financial Services,financial-services,NSE
CANFINHOME,Can Fin Homes Ltd.,Financial Services,financial-services,NSE
CANHLIFE,Canara HSBC Life Insurance Company Ltd.,Financial Services,financial-services,NSE
CAPLIPOINT,Caplin Point Laboratories Ltd.,Healthcare,healthcare,NSE
CARBORUNIV,Carborundum Universal Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
CARTRADE,Cartrade Tech Ltd.,IT,it,NSE
CASTROLIND,Castrol India Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
CCL,CCL Products (I) Ltd.,FMCG,fmcg,NSE
CDSL,Central Depository Services (India) Ltd.,Financial Services,financial-services,NSE
CEATLTD,Ceat Ltd.,Auto Ancillary,auto-ancillary,NSE
CEMPRO,Cemindia Projects Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
CENTRALBK,Central Bank of India,Financial Services,financial-services,NSE
CESC,CESC Ltd.,Energy,energy,NSE
CGCL,Capri Global Capital Ltd.,Financial Services,financial-services,NSE
CGPOWER,CG Power and Industrial Solutions Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
CHALET,Chalet Hotels Ltd.,Tourism Hospitality,tourism-hospitality,NSE
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,Fertilizers,fertilizers,NSE
CHENNPETRO,Chennai Petroleum Corporation Ltd.,Energy,energy,NSE
CHOICEIN,Choice International Ltd.,Financial Services,financial-services,NSE
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,financial-services,NSE
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,Financial Services,financial-services,NSE
CIEINDIA,CIE Automotive India Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
CIPLA,Cipla Ltd.,Healthcare,healthcare,NSE
CLEAN,Clean Science and Technology Ltd.,Chemicals,chemicals,NSE
COALINDIA,Coal India Ltd.,Energy,energy,NSE
COCHINSHIP,Cochin Shipyard Ltd.,Defence,defence,NSE
COFORGE,Coforge Ltd.,Software Services,software-services,NSE
COHANCE,Cohance Lifesciences Ltd.,Healthcare,healthcare,NSE
COLPAL,Colgate Palmolive (India) Ltd.,FMCG,fmcg,NSE
CONCOR,Container Corporation of India Ltd.,Logistics,logistics,NSE
CONCORDBIO,Concord Biotech Ltd.,Healthcare,healthcare,NSE
COROMANDEL,Coromandel International Ltd.,Fertilizers,fertilizers,NSE
CPPLUS,Aditya Infotech Ltd.,Consumer Durables,consumer-durables,NSE
CRAFTSMAN,Craftsman Automation Ltd.,Auto Ancillary,auto-ancillary,NSE
