date,portfolio_value,cash,invested,benchmark,drawdown,exposure
2021-08-23,2955319.4013458528,0.0,2955319.4013458528,16673.34,-0.08112510779287507,1.0
2021-08-24,3006250.292861942,0.0,3006250.292861942,16808.0,-0.06528955464401842,1.0
2021-08-25,3052508.15299471,0.0,3052508.15299471,16830.09,-0.050906951456060945,1.0
2021-08-26,3083195.844012458,0.0,3083195.844012458,16841.59,-0.041365462044399726,1.0
2021-08-27,3120402.4479884095,0.0,3120402.4479884095,16930.84,-0.0297970968104333,1.0
2021-08-30,3169291.74120147,0.0,3169291.74120147,17164.2,-0.014596322230611025,1.0
2021-08-31,3219822.387106237,0.0,3219822.387106237,17373.09,0.0,1.0
2021-09-01,3184819.8509878074,0.0,3184819.8509878074,17343.3,-0.010870952465762418,1.0
2021-09-02,3178034.1149526164,0.0,3178034.1149526164,17504.59,-0.012978440152774162,1.0
2021-09-03,3194416.731403718,0.0,3194416.731403718,17597.45,-0.007890390415401849,1.0
2021-09-06,3183535.433267847,0.0,3183535.433267847,17641.0,-0.011269861959995242,1.0
2021-09-07,3141796.601678777,0.0,3141796.601678777,17618.7,-0.024232947053202003,1.0
2021-09-08,3202243.881064804,0.0,3202243.881064804,17626.2,-0.005459464507056699,1.0
2021-09-09,3260955.591673014,0.0,3260955.591673014,17652.9,0.0,1.0
2021-09-13,3302245.3289912883,0.0,3302245.3289912883,17648.59,0.0,1.0
2021-09-14,3335555.028295415,0.0,3335555.028295415,17678.45,0.0,1.0
2021-09-15,3371013.37321778,0.0,3371013.37321778,17809.5,0.0,1.0
2021-09-16,3373120.9044070146,0.0,3373120.9044070146,17925.05,0.0,1.0
2021-09-17,3362318.8732738723,0.0,3362318.8732738723,17864.55,-0.0032023848060201976,1.0
2021-09-20,3264385.0462603057,0.0,3264385.0462603057,17654.09,-0.03223598003992223,1.0
2021-09-21,3254719.926140934,0.0,3254719.926140934,17817.95,-0.03510131466422928,1.0
2021-09-22,3299977.5051378408,0.0,3299977.5051378408,17817.7,-0.021684191388933405,1.0
2021-09-23,3340544.9539570846,0.0,3340544.9539570846,18085.8,-0.009657510469716413,1.0
2021-09-24,3340965.258888533,0.0,3340965.258888533,18090.2,-0.009532906299465904,1.0
2021-09-27,3368700.252248871,1.4551915228366852e-11,3368700.252248871,18085.55,-0.0013105525367821391,1.0
2021-09-28,3396477.7455709567,1.4551915228366852e-11,3396477.7455709567,17973.15,0.0,1.0
2021-09-29,3444183.444997224,1.4551915228366852e-11,3444183.444997224,17926.05,0.0,1.0
2021-09-30,3473600.8927320857,1.4551915228366852e-11,3473600.8927320857,17845.09,0.0,1.0
