symbol,status,merged_rows,kite_rows,gdf_rows_used,anchor_date,rescale_pct,boundary_pct,warn,gdf_rows
INOXINDIA,no_pre_history,,591.0,,,0.0,,,
INOXWIND,stitched,2746.0,1579.0,1167.0,2023-12-29,-1.4166800064030705,-1.5296242958669715,False,
INTELLECT,stitched,2821.0,1579.0,1242.0,2023-12-29,0.0,2.240693892302126,False,
IOB,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-1.7699115044247926,False,
IOC,stitched,4258.0,1579.0,2679.0,2023-12-29,-10.15017327685791,-12.930516373367318,True,
IONEXCHANG,gdf_only,,,,,,,,459.0
IPCALAB,stitched,4257.0,1579.0,2678.0,2023-12-29,0.0,0.1795363737172817,False,
IRB,stitched,4258.0,1579.0,2679.0,2023-12-29,99.95187680461981,-1.8581059223891305,True,
IRCON,stitched,1886.0,1579.0,307.0,2023-12-29,0.0,2.513062950982836,False,
IRCTC,stitched,1633.0,1579.0,54.0,2023-12-29,0.0,1.156998232363815,False,
IREDA,no_pre_history,,607.0,,,0.0,,,
IRFC,no_pre_history,,1308.0,,,0.0,,,
ITC,stitched,4258.0,1579.0,2679.0,2023-12-29,-13.51439082449687,0.1817850610870586,True,
ITCHOTELS,kite_only,,316.0,,,,,,
ITI,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-0.7567567567567601,False,
IXIGO,no_data,,,,,,,,
J&KBANK,stitched,4257.0,1579.0,2678.0,2023-12-29,0.0,-0.16750418760469454,False,
JAIBALAJI,gdf_only,,,,,,,,3673.0
JAINREC,no_data,,,,,,,,
JAMNAAUTO,gdf_only,,,,,,,,3168.0
JAYNECOIND,gdf_only,,,,,,,,3672.0
JBCHEPHARM,stitched,4257.0,1579.0,2678.0,2023-12-29,0.0,0.9068696551076005,False,
JBMA,stitched,4110.0,1579.0,2531.0,2023-12-29,0.0,-1.3146362839614345,False,
JINDALSAW,stitched,4258.0,1579.0,2679.0,2023-12-29,-0.00970779535968136,16.659736917661828,False,
