window,start,end,n_days,yrs,cagr_pct,vol_pct,sharpe,sharpe_ar,sortino,max_dd_pct,calmar,n_trades,rt_per_year,hit_rate_pct,avg_hold_days,cost_pct_pv_yr,portfolio,variant
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-4.3,9.86,-0.44,-0.27,-0.47,-21.46,-0.2,642,75.6,15.5,99.1,1.17,om25,roc31_N500_exposure_75
COVID,2020-01-01,2020-12-31,252,1.0,31.21,18.42,1.69,1.57,1.87,-21.94,1.42,244,58.0,20.7,125.2,0.89,om25,roc31_N500_exposure_75
POST2021,2021-01-01,2026-08-21,1398,5.63,38.32,18.65,2.05,1.86,2.39,-16.22,2.36,1593,61.4,25.4,127.3,0.96,om25,roc31_N500_exposure_75
EVAL,2015-07-01,2026-08-21,3473,11.11,26.97,15.2,1.77,1.34,1.85,-21.94,1.23,3166,65.7,26.8,115.1,1.03,om25,roc31_N500_exposure_75
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-5.94,11.47,-0.52,-0.32,-0.56,-24.17,-0.25,325,75.6,32.4,99.1,1.12,om25,roc31_N500_entry_gate
COVID,2020-01-01,2020-12-31,252,1.0,27.82,21.02,1.32,1.28,1.39,-27.6,1.01,116,58.0,46.6,125.2,0.84,om25,roc31_N500_entry_gate
POST2021,2021-01-01,2026-08-21,1398,5.63,40.7,20.2,2.02,1.82,2.35,-19.65,2.07,762,61.4,52.9,127.3,0.86,om25,roc31_N500_entry_gate
EVAL,2015-07-01,2026-08-21,3473,11.11,27.31,16.63,1.64,1.26,1.71,-29.22,0.93,1599,65.6,47.3,115.2,0.95,om25,roc31_N500_entry_gate
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-1.04,7.86,-0.13,-0.05,-0.15,-16.19,-0.06,1201,88.4,13.9,97.3,1.03,om25,roc31_N500_scaled_50
COVID,2020-01-01,2020-12-31,252,1.0,28.62,17.09,1.67,1.56,1.88,-18.85,1.52,425,70.0,18.6,126.8,0.88,om25,roc31_N500_scaled_50
POST2021,2021-01-01,2026-08-21,1398,5.63,28.06,14.91,1.88,1.76,2.25,-14.17,1.98,3087,76.5,19.7,119.3,0.93,om25,roc31_N500_scaled_50
EVAL,2015-07-01,2026-08-21,3473,11.11,21.83,12.81,1.7,1.31,1.8,-18.85,1.16,5669,78.5,21.6,111.7,0.99,om25,roc31_N500_scaled_50
