stop_mode,stop_pct,trail,partial_r,timestop,n,meanR,medR,win,meanRet,hold,era1,era2,era3
structure,0.1,chandelier,3.0,40.0,1751,0.2791552233486557,-0.5071844600356304,0.37749857224443173,0.01906214748492314,15.0,0.22428704985073913,0.24899593085087676,0.33079541058342266
structure,0.08,chandelier,3.0,40.0,1751,0.2770024804235228,-0.5980381447703199,0.366076527698458,0.01797419987071495,14.0,0.21907409537234696,0.2619541393350773,0.31844448289431615
structure,0.08,chandelier,3.0,,1751,0.27698561177720243,-0.6018589886545147,0.35693889206167906,0.017926286813523224,14.0,0.23467776384229327,0.25634822960947845,0.3147656101807106
fixed,0.1,ma50,2.0,40.0,1751,0.274124110647103,-0.33804480834192624,0.3432324386065106,0.027412411064710304,18.0,0.23493935923184017,0.2765940400008572,0.2923058051357148
fixed,0.06,chandelier,,,1751,0.2721373170228363,-0.8599020567118896,0.3238149628783552,0.016328239021370195,12.0,0.20396650393357837,0.2709128636984791,0.3080686108173149
fixed,0.1,chandelier,,,1751,0.27086856035246587,-0.2758420017179364,0.402627070245574,0.027086856035246583,19.0,0.2941026000960436,0.20630458409310395,0.30922958429858877
fixed,0.06,chandelier,,40.0,1751,0.26917948516297724,-0.8487928142418782,0.33066818960593947,0.01615076910977865,12.0,0.19377267614247345,0.26863814826835314,0.3082914806974521
fixed,0.1,chandelier,,40.0,1751,0.267394643871979,-0.26403629490273856,0.4157624214734437,0.026739464387197882,19.0,0.27839420080437227,0.20591529581797033,0.3096307509068441
fixed,0.1,chandelier,3.0,,1751,0.2645914272064485,-0.2758420017179364,0.402627070245574,0.02645914272064484,19.0,0.2548081518242015,0.21761432670467196,0.3061966873483305
fixed,0.1,chandelier,3.0,40.0,1751,0.2636353959611129,-0.26403629490273856,0.4157624214734437,0.026363539596111284,19.0,0.24491803169601903,0.21794934808842964,0.30881917250059376
fixed,0.08,chandelier,2.0,40.0,1751,0.25521531280196474,-0.41262582318801105,0.3963449457452884,0.02041722502415717,16.0,0.21659286925415308,0.24114156171861728,0.28599264233774213
fixed,0.08,chandelier,2.0,,1751,0.2545615624569739,-0.4179186450855731,0.38606510565391206,0.020364924996557905,16.0,0.2260481935766553,0.23539675252114847,0.28411693223825807
structure,0.1,chandelier,2.0,,1751,0.2518029431438562,-0.5018021425327251,0.37806967447173045,0.017410682794179108,15.0,0.2224874434116101,0.2222109000582079,0.2898905629488316
fixed,0.1,chandelier,2.0,,1751,0.24746409915640857,-0.2731735304214114,0.4066247858366648,0.02474640991564086,19.0,0.2348626535955417,0.2099034088721158,0.2831818705949086
structure,0.1,chandelier,2.0,40.0,1751,0.24722192486503478,-0.49669012845902305,0.3866362078812107,0.017090233945319003,15.0,0.20521804324179577,0.21932655743853707,0.29049845001565755
fixed,0.1,chandelier,2.0,40.0,1751,0.2467211462853513,-0.2575507783472708,0.4197601370645346,0.024672114628535125,19.0,0.226838614769344,0.20822754004730165,0.2869013139108937
structure,0.06,ma50,2.0,40.0,1751,0.2465437444624734,-0.7843006444233921,0.3106796116504854,0.013271209510832124,11.0,0.06630559183203404,0.35800868691346693,0.2522135285891633
structure,0.06,ma50,2.0,,1751,0.24510966302201864,-0.7844142845196828,0.3083952027412907,0.013185779621924734,11.0,0.06440727105147706,0.3603120799839079,0.24810691375517072
structure,0.08,chandelier,2.0,,1751,0.2437032825288217,-0.5980381447703199,0.3672187321530554,0.015842871750503865,14.0,0.20296088049645641,0.22651134881098287,0.27799676702987053
structure,0.08,chandelier,2.0,40.0,1751,0.24180026720214565,-0.5861986954292174,0.3746430611079383,0.015754092858540028,14.0,0.19060740880076826,0.22690250492714184,0.27966907485524406
structure,0.06,chandelier,3.0,,1751,0.23258561516415824,-1.0313333333333317,0.3209594517418618,0.012663679093244794,11.0,0.13088856465750362,0.24714240966853732,0.2734284830548691
structure,0.06,chandelier,3.0,40.0,1751,0.23213683834780227,-1.0313333333333317,0.327812678469446,0.012632879824280399,11.0,0.1300602711891733,0.24665484273252783,0.27320464164265945
fixed,0.06,ma50,2.0,,1751,0.2321194250472228,-0.726463825326925,0.3089663049685894,0.01392716550283338,12.0,0.05779915927088882,0.34395859144340346,0.23446136245376129
fixed,0.06,ma50,2.0,40.0,1751,0.2319795922181847,-0.7195984508964183,0.3118218161050828,0.013918775533091095,12.0,0.05969748005144578,0.3350429511440397,0.2401103375172395
fixed,0.06,chandelier,3.0,,1751,0.2275064949021795,-0.8487928142418782,0.32724157624214734,0.013650389694130786,12.0,0.12061946381847419,0.2518489165987387,0.2633912792940117
fixed,0.06,chandelier,3.0,40.0,1751,0.226028696915973,-0.8425507250287604,0.3340948029697316,0.013561721814958393,12.0,0.11979117035014385,0.2483358723523018,0.26316526894370784
fixed,0.06,chandelier,2.0,,1751,0.18611022971985744,-0.8360115604656921,0.3409480296973158,0.011166613783191458,12.0,0.07913413803748198,0.22846062309486095,0.20801617720855395
structure,0.06,chandelier,2.0,,1751,0.1849687664643242,-1.0313333333333314,0.33637921187892633,0.009985030931428726,11.0,0.08989821505913709,0.2213851470853492,0.20538749641370055
fixed,0.06,chandelier,2.0,40.0,1751,0.18393704419052292,-0.8243382591235681,0.34665905197030267,0.011036222651431386,12.0,0.07783909370291796,0.2216713210023853,0.2089874393319929
structure,0.06,chandelier,2.0,40.0,1751,0.18357134289542235,-1.031333333333331,0.3415191319246145,0.009900047635433165,11.0,0.08860317072457306,0.21687601662987122,0.20636092747523363
