ext,slope,above_low,near_high,spread,lead,avoid,ext_n,lead_n,mono,era_min,ext_minus_lead
0.25,42,0.2,0.3,0.06540704761453042,0.03793399483656153,-0.027473052777968892,3563,40219,True,0.017661550758797863,0.04454142729478504
0.25,42,0.3,0.2,0.06867007672596445,0.041197023947995556,-0.027473052777968892,3501,37723,True,0.020703171901191097,0.04522803163551277
0.25,42,0.3,0.25,0.0669482801446813,0.0394752273667124,-0.027473052777968892,3541,38917,True,0.01925774442812561,0.044984223734361575
0.25,42,0.3,0.3,0.06616237587766566,0.03868932309969676,-0.027473052777968892,3563,39310,True,0.019111704757976758,0.04379761484385027
0.25,42,0.4,0.2,0.07093954322902236,0.043466490451053476,-0.027473052777968892,3501,35690,True,0.024068426593097405,0.04295134389639963
0.25,42,0.4,0.25,0.06901907071206839,0.0415460179340995,-0.027473052777968892,3541,36860,True,0.022399198245999882,0.0429205909724468
0.25,42,0.4,0.3,0.06820812733201648,0.04073507455404758,-0.027473052777968892,3563,37246,True,0.02227400141797363,0.04175475290550503
0.25,63,0.2,0.2,0.0683510852270443,0.04087803244907541,-0.027473052777968892,3414,38045,True,0.0193357290349421,0.04943822221212964
0.25,63,0.2,0.25,0.06673052891011942,0.039257476132150526,-0.027473052777968892,3452,39181,True,0.018024155931496446,0.049201934178326946
0.25,63,0.2,0.3,0.0660231012248027,0.038550048446833816,-0.027473052777968892,3470,39544,True,0.01788725603221973,0.04850233138052361
0.25,63,0.3,0.2,0.06912114555901813,0.04164809278104924,-0.027473052777968892,3414,37195,True,0.020814557659262673,0.04868599135561669
0.25,63,0.3,0.25,0.0674397676377993,0.0399667148598304,-0.027473052777968892,3452,38328,True,0.019405617447601598,0.04851313960167929
0.25,63,0.3,0.3,0.06671650642577738,0.039243453647808485,-0.027473052777968892,3470,38689,True,0.01925096180910774,0.04782899122742316
0.25,63,0.4,0.2,0.07133472025748257,0.04386166747951367,-0.027473052777968892,3414,35236,True,0.024177287926381567,0.04648197464593278
0.25,63,0.4,0.25,0.06944878084365828,0.04197572806568939,-0.027473052777968892,3452,36347,True,0.022522170489577383,0.04652835112279912
0.25,63,0.4,0.3,0.06870074911034589,0.041227696332377,-0.027473052777968892,3470,36704,True,0.02237488139535451,0.045866745429970615
0.3,21,0.2,0.2,0.06745055299983686,0.039977500221867975,-0.027473052777968892,2228,40403,True,0.0184865269221536,0.042809166939467666
0.3,21,0.2,0.25,0.0654999247292715,0.03802687195130262,-0.027473052777968892,2256,41692,True,0.016688395984958547,0.04276244720591751
0.3,21,0.2,0.3,0.06474538579774573,0.037272333019776845,-0.027473052777968892,2268,42164,True,0.016532510903810044,0.04197985651638422
0.3,21,0.3,0.2,0.06833480158647774,0.04086174880850885,-0.027473052777968892,2228,39447,True,0.02012851191853471,0.041926898624490255
0.3,21,0.3,0.25,0.06630821043449943,0.03883515765653054,-0.027473052777968892,2256,40729,True,0.01825767062753601,0.041959096479712174
0.3,21,0.3,0.3,0.06548101149847965,0.03800795872051076,-0.027473052777968892,2268,41194,True,0.018130423638592623,0.041252082687692725
0.3,21,0.4,0.2,0.0707188489806453,0.043245796202676406,-0.027473052777968892,2228,37324,True,0.023717098820469316,0.0395261611726067
0.3,21,0.4,0.25,0.0684967744793045,0.04102372170133561,-0.027473052777968892,2256,38572,True,0.021624170180463028,0.03976389681293606
0.3,21,0.4,0.3,0.06762299773164833,0.040149944953679434,-0.027473052777968892,2268,39029,True,0.02147581530941509,0.03910327098345248
0.3,42,0.2,0.2,0.0678412811872073,0.0403682284092384,-0.027473052777968892,2167,39957,True,0.019155190312266337,0.044542653740239586
0.3,42,0.2,0.25,0.06618902246109452,0.03871596968312563,-0.027473052777968892,2191,41172,True,0.0178113758164425,0.04465838536689455
0.3,42,0.2,0.3,0.06540704761453042,0.03793399483656153,-0.027473052777968892,2199,41583,True,0.017661550758797863,0.044110221228653955
0.3,42,0.3,0.2,0.06867007672596445,0.041197023947995556,-0.027473052777968892,2167,39057,True,0.020703171901191097,0.04371825605653122
