symbol,pnl_pct,reason,entry_date,exit_date,hold_days
VBL,-0.281497032197095,atr_stop,2020-03-09,2020-03-23,14
PHOENIXLTD,-0.26597958831010327,atr_stop,2020-03-09,2020-03-23,14
COFORGE,-0.4405184504663321,atr_stop,2020-03-09,2020-03-23,14
TCS,-0.17589237785398548,rank,2020-03-09,2020-03-23,14
PIDILITIND,-0.23161668912115219,atr_stop,2020-03-09,2020-03-30,21
VBL,0.1602641512181473,rank,2020-03-23,2020-04-20,28
NAM-INDIA,-0.023231273544667586,atr_stop,2020-03-23,2020-04-27,35
POLYCAB,0.04331699531263822,rank,2020-03-23,2020-05-04,42
HINDUNILVR,0.04011579049680125,atr_stop,2020-03-23,2020-05-26,64
VBL,-0.024144921644960737,rank,2020-05-04,2020-06-01,28
ALKEM,0.12147650643047303,rank,2020-03-23,2020-06-29,98
ASIANPAINT,0.08526393448106528,rank,2020-03-23,2020-06-29,98
LUPIN,0.07314094104931601,rank,2020-06-01,2020-06-29,28
HDFCAMC,0.15078042598226649,rank,2020-03-23,2020-07-13,112
DRREDDY,0.3946471766559936,rank,2020-03-23,2020-07-13,112
ADANIGREEN,1.5540677584747007,atr_stop,2020-03-09,2020-07-20,133
DMART,0.08545424604065222,atr_stop,2020-03-23,2020-07-20,119
TORNTPHARM,0.02046649922411925,rank,2020-04-07,2020-07-27,111
IGL,-0.12569591975625516,rank,2020-04-20,2020-07-27,98
NESTLEIND,0.274165877687079,rank,2020-03-23,2020-08-10,140
DIVISLAB,0.7018430071748103,rank,2020-03-23,2020-08-10,140
AJANTPHARM,0.1456746172637442,rank,2020-03-09,2020-08-24,168
BERGEPAINT,0.36486203957349406,rank,2020-03-23,2020-08-24,154
BHARTIARTL,0.24701002390153337,rank,2020-03-23,2020-08-24,154
COROMANDEL,0.2224038399635222,rank,2020-03-09,2020-09-07,182
GUJGASLTD,0.4044035106448365,rank,2020-03-23,2020-09-07,168
ABBOTINDIA,0.23339577757447394,rank,2019-12-16,2020-09-21,280
MUTHOOTFIN,0.0010282118239617333,atr_stop,2020-06-29,2020-09-28,91
JINDALSTEL,-0.2040188789547216,atr_stop,2020-08-24,2020-09-28,35
IDBI,-0.19970295177327924,atr_stop,2020-08-24,2020-09-28,35
IDEA,0.01459131598299268,atr_stop,2020-08-10,2020-10-05,56
COFORGE,0.08145750465870649,atr_stop,2020-08-10,2020-11-02,84
