index,company_name,spell_from,spell_to,isin,symbol,symbol_from,symbol_to,method,candidates
nse500,Era Infra Engineering Ltd.,2006-11-08,2014-09-19,INE039E01020,ERAINFRA,2008-02-25,2014-09-19,norm-exact,
nse500,Eros Intl Media Ltd.,2012-04-27,2019-03-29,INE416L01017,EROSMEDIA,2012-04-27,2019-03-29,manual-isin,
nse500,Eskay K'n'IT (India) Ltd.,1998-08-01,1999-02-03,INE220A01024,,,,isin-only,
nse500,Ess Dee Aluminium Ltd.,2013-09-27,2016-09-30,INE825H01017,ESSDEE,2013-09-27,2016-09-30,norm-exact,
nse500,Essar Oil Ltd.,1998-08-01,2014-03-28,INE011A01019,ESSAROIL,2005-01-03,2014-03-28,norm-exact,
nse500,Essar Ports Ltd.,1998-08-01,2001-12-07,INE282A01016,ESSARSHIP,,,isin-only,
nse500,Essar Ports Ltd.,2008-09-10,2011-05-18,INE282A01016,ESSARSHIP,2008-09-10,2011-05-17,manual-isin,
nse500,Essar Steel Ltd.,1998-08-01,2005-04-25,INE127A01021,ESTL,,,isin-only,
nse500,Essar Steel Ltd.,2005-12-14,2007-12-07,INE127A01021,ESTL,2005-12-14,2007-12-07,manual-isin,
nse500,Excel Crop Care Ltd.,2018-09-28,2019-04-15,INE223G01017,EXCELCROP,2018-09-28,2019-04-15,norm-exact,
nse500,Excel Industries Ltd.- Arrangement,1998-08-01,2003-09-29,,,,,unresolved,
nse500,FCI OEN Connectors Ltd.,2002-04-23,2007-09-10,INE669B01012,OENCONNECT,2005-01-03,2007-09-07,norm-exact,
nse500,FCL Technologies & Products Ltd.,2001-08-31,2006-12-15,INE145B01013,FLEXCHEM,2005-01-03,2006-12-14,norm-exact,
nse500,Federal-Mogul Goetze (India) Ltd.,1998-08-01,2016-04-01,INE529A01010,GOETZEIND,2005-01-03,2006-09-11,norm-exact,
nse500,Federal-Mogul Goetze (India) Ltd.,1998-08-01,2016-04-01,INE529A01010,FMGOETZE,2006-09-12,2016-04-01,norm-exact,
nse500,Federal-Mogul Goetze (India) Ltd.,2017-03-31,2017-09-29,INE529A01010,FMGOETZE,2017-03-31,2017-09-29,norm-exact,
nse500,Federal-Mogul Goetze (India) Ltd.,2019-09-27,2020-06-26,INE529A01010,FMGOETZE,2019-09-27,2020-06-26,norm-exact,
nse500,Financial Technologies (India) Ltd.,2005-12-08,2016-09-30,INE111B01023,FINANTECH,2005-12-08,2016-09-30,manual-isin,
nse500,First Leasing Co. of India Ltd.,2002-09-19,2012-09-28,INE492B01019,FIRSTLEASE,2005-01-03,2012-09-28,norm-exact,
nse500,Flat Products Equipments (India) Ltd.,1998-08-01,2001-12-07,,,,,unresolved,
nse500,Flexituff International Ltd.,2012-09-28,2016-04-01,INE060J01017,FLEXITUFF,2012-09-28,2016-04-01,manual-isin,
nse500,Flextronics Software Systems Ltd.,2000-05-24,2006-02-03,INE801A01021,HUGHESSOFT,2005-01-03,2005-03-16,norm-exact,
nse500,Flextronics Software Systems Ltd.,2000-05-24,2006-02-03,INE801A01021,FSS,2005-03-17,2006-02-02,norm-exact,
nse500,Forbes Gokak Ltd.,1998-08-01,2002-09-19,INE518A01013,,,,isin-only,
nse500,Fresenius Kabi Oncology Ltd.,2005-04-13,2013-11-18,INE575G01010,DABURPHARM,2005-04-13,2009-02-18,norm-exact,
nse500,Fresenius Kabi Oncology Ltd.,2005-04-13,2013-11-18,INE575G01010,FKONCO,2009-02-19,2013-11-18,norm-exact,
nse500,Fulford (India) Ltd.,1998-08-01,2002-09-19,INE521A01017,,,,isin-only,
